Run	T	Energy	Magnetization
10000	0.8333333333333333	-2568	-786
20000	0.6666666666666666	-2976	-996
30000	0.5	-3000	-1000
40000	0.5	-3000	-1000
50000	0.5	-3000	-1000
60000	0.6666666666666666	-3000	-1000
70000	0.6666666666666666	-3000	-1000
80000	0.9999999999999999	-3000	-1000
90000	1.1666666666666665	-3000	-1000
100000	1.3333333333333333	-3000	-1000
110000	1.1666666666666665	-3000	-1000
120000	1.3333333333333333	-3000	-1000
130000	1.5	-2988	-998
140000	1.6666666666666667	-2988	-998
150000	1.6666666666666667	-2964	-994
160000	1.6666666666666667	-2964	-994
170000	1.8333333333333335	-3000	-1000
180000	1.6666666666666667	-3000	-1000
190000	1.5	-3000	-1000
200000	1.8333333333333335	-2976	-996
210000	1.8333333333333335	-2976	-996
220000	1.8333333333333335	-2976	-996
230000	1.8333333333333335	-2988	-998
240000	1.8333333333333335	-2988	-998
250000	1.6666666666666667	-3000	-1000
260000	1.5	-2988	-998
270000	1.3333333333333333	-3000	-1000
280000	1.1666666666666665	-3000	-1000
290000	0.9999999999999999	-3000	-1000
300000	0.8333333333333333	-3000	-1000
310000	0.6666666666666666	-3000	-1000
320000	0.6666666666666666	-3000	-1000
330000	0.6666666666666666	-3000	-1000
340000	0.9999999999999999	-3000	-1000
350000	1.3333333333333333	-3000	-1000
360000	1.3333333333333333	-3000	-1000
370000	1.1666666666666665	-3000	-1000
380000	0.9999999999999999	-3000	-1000
390000	0.9999999999999999	-3000	-1000
