Run	T	Energy	Magnetization
10000	1.6666666666666667	-2180	-352
20000	1.5	-2588	-746
30000	1.5	-2904	-982
40000	1.5	-2988	-998
50000	1.3333333333333333	-3000	-1000
60000	1.3333333333333333	-3000	-1000
70000	1.6666666666666667	-3000	-1000
80000	1.5	-3000	-1000
90000	1.3333333333333333	-3000	-1000
100000	1.1666666666666665	-3000	-1000
110000	1.1666666666666665	-3000	-1000
120000	1.1666666666666665	-3000	-1000
130000	1.3333333333333333	-2988	-998
140000	1.3333333333333333	-3000	-1000
150000	1.1666666666666665	-3000	-1000
160000	1.3333333333333333	-3000	-1000
170000	1.1666666666666665	-3000	-1000
180000	0.9999999999999999	-3000	-1000
190000	0.9999999999999999	-3000	-1000
200000	0.8333333333333333	-3000	-1000
210000	0.6666666666666666	-3000	-1000
220000	0.5	-3000	-1000
230000	0.9999999999999999	-3000	-1000
240000	1.1666666666666665	-3000	-1000
250000	1.3333333333333333	-3000	-1000
260000	1.3333333333333333	-2988	-998
270000	1.3333333333333333	-2988	-998
280000	1.6666666666666667	-3000	-1000
290000	1.6666666666666667	-2976	-996
300000	1.6666666666666667	-2988	-998
310000	1.8333333333333335	-2988	-998
320000	1.8333333333333335	-2988	-998
330000	1.8333333333333335	-2988	-998
340000	1.8333333333333335	-2988	-998
350000	1.8333333333333335	-3000	-1000
360000	1.8333333333333335	-2988	-998
370000	1.8333333333333335	-3000	-1000
380000	1.6666666666666667	-3000	-1000
390000	1.5	-3000	-1000
